event_id,event_key,name_zh,name_en,category,severity,description
1166,ENVIRONMENT_TEMPERATURE,环境温度检测,Environment Temperature,vca,info,环境温度检测
1167,BODY_TEMPERATURE,人体温度检测,Body Temperature,vca,warning,人体温度检测
1168,FIREWORK_DETECT,烟火检测,Firework Detect,vca,critical,烟火检测
1169,PLATE_BLACKLIST,车牌黑名单,Plate Number Blacklist,its,warning,车牌黑名单检测
1170,SMART_MOVE,智能侦测,Smart Move,vca,warning,智能侦测
1171,INQUIRY_TIMEOUT,讯问超时,Inquiry Timeout,vca,warning,讯问超时检测
1172,ELECTRIC_VEHICLE,室内电动车检测,Electric Vehicle,vca,warning,室内电动车检测
1173,LEAVE_SEAT,对象离席,Leave Seat,vca,warning,对象离席检测
1174,SCENE_REC,场景分类,Scene Rec,vca,info,场景分类
1175,CONTRA_BAND,违禁物品,Contra Band,vca,warning,违禁物品检测
1176,BED_REST,未定时休息,Bed Rest,vca,warning,未定时休息检测
1177,ATTENDED,如厕无人看护,Attended,vca,warning,如厕无人看护检测
1178,DOOR,谈话时未关闭房门,Door,vca,warning,谈话时未关闭房门检测
1179,POSE_REC,长期举手/长期站立/长期下蹲,Pose Rec,vca,warning,姿态异常检测
1180,CONVERSE,逆行,Converse,vca,warning,逆行检测
1181,COURT_PII,智能审讯,Court PII,vca,info,智能审讯
1182,COURT_ELP,执法检人,Court ELP,vca,info,执法检人
1183,BEHAVIOR_REC,行为识别,Behavior Rec,vca,warning,行为识别（吸烟和/或打电话）
1184,INCLINED_STATIS,倾斜式人数统计,Inclined Statis,vca,info,倾斜式人数统计
1185,VERTICAL_STATIS,垂直式人数统计,Vertical Statis,vca,info,垂直式人数统计
1186,PERSON_GATHER,人员聚集,Person Gather,vca,warning,人员聚集检测
1187,NORMAL_BODY_TEMPERATURE,人体温度正常,Normal Body Temperature,vca,info,人体温度正常
1188,PERSON_DENSITY,人员密度,Person Density,vca,info,人员密度检测
1189,VEHICLE_DENSITY,车辆密度,Vehicle Density,its,info,车辆密度检测
1190,TRAFFIC_JAM,车辆拥堵,Traffic Jam,its,warning,车辆拥堵检测
1191,VEHICLE_STANDED,车辆滞留,Vehicle Standed,its,warning,车辆滞留检测
1192,ABNORMAL_PARKING,异常停车,Abnormal Parking,its,warning,异常停车检测
1193,CROSS_CONGESTION,交叉拥堵,Cross Congestion,its,warning,交叉拥堵检测
1194,JUDGE_BEHAVIOR_ANALYZE,法官行为分析,Judge Behavior Analyze,vca,info,法官行为分析
1195,VERTICAL_HUMAN_DETECTION,垂直检人,Vertical Human Detection,vca,info,垂直检人
1196,AERIAL_PROJECTILE,高空抛物,Aerial Projectile,vca,critical,高空抛物检测
1197,WATER_OUTFALL,排污口监测,Water Outfall,vca,warning,排污口监测
1198,POLICE_UNIFORM_DETECTION,民警警服检测,Police Uniform Detection,vca,info,民警警服检测
1199,SP_DRESS_DETECTION,被监管人员识别服检测,SP Dress Detection,vca,info,被监管人员识别服检测
1200,SP_QUEUE_DETECTION,被监管人员队列检测,SP Queue Detection,vca,warning,被监管人员队列检测
1201,VEHICLE_IDENTIFY,车辆识别,Vehicle Identify,its,info,车辆识别
1202,ACTIVE_STRATEGY,主动策略,Active Strategy,vca,info,主动策略
1203,AUDIO_LOST_ALARM,音频丢失报警,Audio Lost Alarm,basic,warning,音频丢失报警
1204,CLIMB_WALL,翻墙检测,Climb Wall,vca,warning,翻墙检测
1205,CLASSROOM_BEHAVIOR_RECOGNITION,课堂行为识别,Classroom Behavior Recognition,vca,warning,课堂行为识别
1206,WATER_COLOR_DETECT,水体颜色检测,Water Color Detect,vca,warning,水体颜色检测
1207,SLEEP_ABNORMAL,睡觉异常检测,Sleep Abnormal,vca,warning,睡觉异常检测
1208,HUMANOID_DETECT,后端结构化算法-人形,Humanoid Detect,vca,info,后端结构化算法-人形
1209,VEHICLE_DETECT,后端结构化算法-机动车辆,Vehicle Detect,its,info,后端结构化算法-机动车辆
1210,NON_MOTOR_DETECT,后端结构化算法-非机动车,Non Motor Detect,its,info,后端结构化算法-非机动车
1211,PLATE_WHITELIST,车牌白名单,Plate Whitelist,its,info,车牌白名单检测
1212,NUMBER_DETECTION,人数检测,Number Detection,vca,info,人数检测
1213,IMAGE_ANALYSIS_DETECTION,图片分析检测,Image Analysis Detection,vca,info,图片分析检测
1214,AUDIO_ANALYSIS,音频分析,Audio Analysis,vca,warning,音频分析
1215,PERSON_FAST_MOVE,人员快速移动,Person Fast Move,vca,warning,人员快速移动检测
1216,COLLISION_DETECTION,冲撞检测,Collision Detection,vca,critical,冲撞检测
1217,ESCORT_ANOMALY,押解异常,Escort Anomaly,vca,critical,押解异常检测
1218,MEAL_DETECTION,用餐检测,Meal Detection,vca,info,用餐检测
1219,POLICE_UNIFORMS_MIXED,警便服混穿,Police Uniforms Mixed,vca,warning,警便服混穿检测
1220,NON_STATIC_DETECTION,非静止检测,Non Static Detection,vca,warning,非静止检测
1221,NOT_WEAR_POLICE_UNIFORMS,未穿警便服,Not Wear Police Uniforms,vca,warning,未穿警便服检测
1222,TARGET_PARA,靶标检测,Target Para,vca,info,靶标检测
1223,HUMAN_DETECT_MONITOR,人形检测(智能监控),Human Detect Monitor,vca,info,人形检测(智能监控)
1224,DISCIPLINE_INSPECTORS,执纪检人,Discipline Inspectors,vca,info,执纪检人
1225,MOTION_DETECTION_VCA,智能动检,Motion Detection VCA,vca,warning,智能动检
1226,GAS_DETECTION,煤气罐检测,Gas Detection,vca,critical,煤气罐检测
1227,TEST_PAPER_COUNTING,保密室试卷清点,Test Paper Counting,vca,warning,保密室试卷清点
1228,TEST_PAPER_COUNTING_LACK,保密室试卷清点少于指定人数,Test Paper Counting Numbers Lack,vca,warning,保密室试卷清点少于指定人数
1229,USING_ILLEGAL_COMMUNICATION_TOOLS,使用违规通讯工具,Using Illegal Communication Tools,vca,warning,使用违规通讯工具检测
1230,CARRY_THINGS_OUT,携物外出,Carry Things Out,vca,warning,携物外出检测
1231,VEST_DETECTION,反光衣检测,Vest Detection,vca,warning,反光衣穿戴检测
1232,WORK_CLOTHES_DETECTION,工服检测,Work Clothes Detection,vca,warning,工作服穿戴检测
1233,TUMBLE_DETECTION,倒地检测(大华),Tumble Detection,vca,critical,人员倒地检测
1234,FIGHT_DETECTION,打架检测,Fight Detection,vca,critical,打架行为检测
1235,CLIMBING_DETECTION,攀高检测,Climbing Detection,vca,warning,攀爬检测
1236,WRONG_WAY,逆行检测,Wrong Way,its,warning,车辆逆行检测
1237,TEMPERATURE_UPPER_LIMIT,温度上限报警,Temperature Upper Limit,basic,warning,温度上限报警
1238,TEMPERATURE_LOWER_LIMIT,温度下限报警,Temperature Lower Limit,basic,warning,温度下限报警
1239,HUMIDITY_UPPER_LIMIT,湿度上限报警,Humidity Upper Limit,basic,warning,湿度上限报警
1240,HUMIDITY_LOWER_LIMIT,湿度下限报警,Humidity Lower Limit,basic,warning,湿度下限报警
1241,PRESSURE_UPPER_LIMIT,压力上限报警,Pressure Upper Limit,basic,warning,压力上限报警
1242,PRESSURE_LOWER_LIMIT,压力下限报警,Pressure Lower Limit,basic,warning,压力下限报警
1243,TEMPERATURE_HUMIDITY_FAULT,温湿度故障报警,Temperature Humidity Fault,basic,error,温湿度故障报警
1244,FACE_IDENTIFICATION,人脸识别报警,Face Identification,face,warning,人脸识别报警
1245,NVR_VCA,NVR智能分析,NVR VCA,vca,warning,NVR智能分析报警
1246,MALICIOUS_OCCLUSION_LICENSE_PLATE,恶意遮挡车牌,Malicious Occlusion License Plate,its,warning,恶意遮挡车牌报警
1247,RAINFALL,降雨报警,Rainfall,basic,warning,降雨报警
1248,ALERT_WATER_LEVEL,警戒水位报警,Alert Water Level,basic,warning,警戒水位报警
1249,SENSOR_ABNORMAL,传感器异常报警,Sensor Abnormal,basic,error,传感器异常报警
1250,ZF_VCA,ZF智能分析,ZF VCA,vca,warning,ZF智能分析报警
1251,ILLEGAL_IP_LOGIN,非法IP登录,Illegal IP Login,basic,error,非法IP登录报警
1252,DANGEROUS_AREA,危险区域报警,Dangerous Area,basic,warning,导航船舶危险区域报警
1253,VOLTAGE_HIGH,电压上限报警,Voltage High,basic,warning,电压上限报警
1254,VOLTAGE_LOW,电压下限报警,Voltage Low,basic,warning,电压下限报警
1255,BLACK_BODY_DETECT,黑体异常报警,Black Body Detect,basic,error,黑体异常报警
1256,ALERT_WATERLEVEL_LOWER_LIMIT,警戒水位报警(下限),Alert Water Level Lower Limit,basic,warning,警戒水位报警(下限)
1257,PREALERT_WATERLEVEL_UPPER_LIMIT,预警水位报警(上限),Prealert Water Level Upper Limit,basic,warning,预警水位报警(上限)
1258,PREALERT_WATERLEVEL_LOWER_LIMIT,预警水位报警(下限),Prealert Water Level Lower Limit,basic,warning,预警水位报警(下限)
1259,MOTHERBOARD_DISASSEMBLE,主板拆卸报警,Motherboard Disassemble,basic,error,主板拆卸报警
1260,OUT_CARDREADER_DISASSEMBLE,外接读卡器拆卸报警,Out Cardreader Disassemble,basic,error,外接读卡器拆卸报警
1261,BUTTON,按钮报警,Button,basic,warning,按钮报警
1262,VEHICLE_IDENTIFICATION,车辆识别报警,Vehicle Identification,its,info,车辆识别报警
1263,WATER_ELECTRONIC_OVERRANGE,水利电子围栏超范围报警,Water Electronic Overrange,basic,warning,水利电子围栏超范围报警
1264,WATER_SPECTRAL_DATA_ABNORMAL,水利光谱数据异常报警,Water Spectral Data Abnormal,basic,error,水利光谱数据异常报警
1265,MOTION_DETECTION_CAR,移动侦测之车形报警,Motion Detection Car,vca,warning,移动侦测之车形报警
1266,PAYMENT_BEHAVIOR,支付行为报警,Payment Behavior,vca,warning,支付行为报警
1267,ELEVATOR_SERVICE,电梯业务报警,Elevator Service,basic,warning,电梯业务报警
1268,FACE_CAPTURE,人脸抓拍,Face Capture,face,info,人脸抓拍
1269,FACE_MATCH,人脸比对,Face Match,face,info,人脸比对识别
1270,REGION_INTRUSION,区域入侵,Region Intrusion,vca,warning,区域入侵检测(海康/大华)
1271,FAST_MOVING,快速移动,Fast Moving,vca,warning,快速移动检测(海康/大华)
1272,GIS_INFO_UPLOAD,GIS信息上传,GIS Info Upload,other,info,球机GIS信息上传
